Rank,Name,Age Group ,Age,Source,Industry,Gender,Continent,Country,Headquarters,State,Net Worth,Title
87,Zhang Zhidong,41-60,46,internet media,Technology,Male,Asia,China,,,15.6,"Cofounder, Tencent Holdings"
88,Petr Kellner,41-60,53,banking,Finance and Investments,Male,Europe,Czech Republic,,,15.5,
88,Andrey Melnichenko,41-60,46,"coal, fertilizers",Energy,Male,Asia,Russia,,,15.5,
88,David & Simon Reuben,,,"investments, real estate",Real Estate,Male,Europe,United Kingdom,,,15.5,
91,Klaus-Michael Kuehne,61-80,80,shipping,Logistics,Male,Europe,Germany,,,15.3,
91,Li Shufu,41-60,54,automobiles,Automotive,Male,Asia,China,,,15.3,
93,Mikhail Fridman,41-60,53,"oil, banking, telecom",Energy,Male,Asia,Russia,,,15.1,
94,Rupert Murdoch,81-100,86,"newspapers, TV network",Media & Entertainment,Male,North America,United States,NY,New York,15,"Chairman and CEO, News Corp"
95,Dhanin Chearavanont,61-80,78,diversified,Diversified,Male,Asia,Thailand,,,14.9,
96,Robert Kuok,81-100,94,"palm oil, shipping, property",Diversified,Male,Asia,Malaysia,,,14.8,
97,Emmanuel Besnier,41-60,47,cheese,Food and Beverage,Male,Europe,France,,,14.7,
98,Shiv Nadar,61-80,72,software services,Technology,Male,Asia,India,,,14.6,
99,Viktor Vekselberg,41-60,60,"metals, energy",Energy,Male,Asia,Russia,,,14.4,
100,Aliko Dangote,41-60,60,"cement, sugar, flour",Manufacturing,Male,Africa,Nigeria,,,14.1,"CEO, Dangote Group"
100,Harold Hamm,61-80,72,oil & gas,Energy,Male,North America,United States,OK,Oklahoma,14.1,"Chairman and CEO, Continental Resources"
